id,title,description,created_at,edited_at,user_id
1,Au Hasard Balthazar,Granuloma of left lacrimal passage,1/16/2021,2/11/2021,92
2,In Love and War,Congenital pneumonia due to Chlamydia,2/6/2021,11/16/2020,83
3,"Mother's Courage: Talking Back to Autism, A",Occup of pk-up/van injured in collision w ped/anml nontraf,4/1/2021,12/13/2020,53
4,It's My Party,"Ben neoplm of connctv/soft tiss of left upr limb, inc shldr",2/1/2021,8/3/2021,91
5,"Worthless, The (Arvottomat)","Chloasma of left eye, unspecified eyelid and periocular area",7/16/2021,4/8/2021,83
6,How to Train Your Dragon 2,"Oth intraoperative complications of respiratory system, NEC",5/22/2021,10/29/2020,91
7,"Wedding Date, The",Sprain of metatarsophalangeal joint of left lesser toe(s),6/5/2021,8/8/2021,52
8,Altiplano,"Other specified osteochondropathies, unspecified upper arm",3/27/2021,6/3/2021,52
9,36 Hours,Displaced fracture of head of right radius,12/25/2020,4/22/2021,33
10,Heavy Petting,"Nondisp fx of neck of 2nd MC bone, l hand, init for opn fx",9/12/2020,6/15/2021,31
11,Opposite Day,"Fx oth skull and facial bones, unspecified side, init",4/30/2021,12/8/2020,13
12,The Returned,"Gout due to renal impairment, left hip",11/8/2020,4/19/2021,43
13,Glorious Technicolor,"Injury of medial plantar nerve, unspecified leg",6/20/2021,8/18/2021,11
14,Where Sleeping Dogs Lie,"Oth forn object in oth prt resp tract cause oth injury, init",1/16/2021,9/19/2020,42
15,Mind Game,"Other superficial bite of left foot, sequela",12/8/2020,4/20/2021,92
16,Dead End,"Oth fracture of shaft of r humerus, subs for fx w routn heal",5/23/2021,6/18/2021,32
17,"Magnificent Yankee, The",Rh incompat reaction due to transfusion of bld/bld prod,5/30/2021,10/7/2020,43
18,What Dreams May Come,Personal history of (healed) other pathological fracture,6/22/2021,6/25/2021,13
19,Divine Horsemen: The Living Gods of Haiti,"Nondisp oblique fx shaft of l ulna, 7thK",2/17/2021,10/27/2020,93
20,Backstage,Exostosis of unspecified orbit,5/12/2021,9/12/2020,93
21,"Two Days, One Night (Deux jours, une nuit)","Nondisp fx of r tibial tuberosity, 7thF",7/15/2021,1/17/2021,61
22,"Ox-Bow Incident, The",Atrophy of edentulous alveolar ridge,1/18/2021,7/26/2021,33
23,"King of Ping Pong, The (Ping-pongkingen)",Burn of first degree of foot,11/14/2020,8/21/2021,42
24,Captain America: The First Avenger,"Displ oth fx tuberosity of unsp calcaneus, 7thD",3/9/2021,3/26/2021,51
25,Tiresia,"Chorioamnionitis, unspecified trimester",11/5/2020,8/10/2021,33
26,Driven to Kill,"Poisoning by anterior pituitary hormones, assault, sequela",9/17/2020,1/15/2021,73
27,Bitter Sweetheart,Fracture of upper end of tibia,4/12/2021,2/4/2021,63
28,"One and Only, The (Eneste ene, Den)","Secondary hypertension, unspecified",2/3/2021,3/20/2021,21
29,Space Jam,"Driver of 3-whl mv injured in clsn w oth mv nontraf, subs",11/10/2020,10/20/2020,41
30,Frenzy,Mechanical ptosis of left eyelid,10/18/2020,2/24/2021,13
31,Caroline?,"Toxic effect of formaldehyde, undetermined",3/6/2021,8/29/2021,43
32,Rise of the Planet of the Apes,"Corrosion of third degree of scalp, subsequent encounter",7/4/2021,1/4/2021,52
33,Carolina,"Pathological fracture in other disease, left hand",7/19/2021,7/28/2021,12
34,God told Me To,"Unspecified injury of duodenum, initial encounter",12/28/2020,10/1/2020,01
35,"Christmas Memory, A (Truman Capote's 'A Christmas Memory')","Nontraumatic ischemic infarction of muscle, lower leg",1/29/2021,8/31/2020,93
36,"Scorpion King 2: Rise of a Warrior, The","Disp fx of intermed cuneiform of unsp foot, init for opn fx",5/31/2021,1/22/2021,03
37,"Lady in Red, The","Unspecified open wound of vocal cord, initial encounter",8/2/2021,7/3/2021,03
38,"Flying Leathernecks, The","Traumatic rupture of unsp ulnocarpal (palmar) ligament, init",5/15/2021,6/20/2021,11
39,On_Line (a.k.a. On Line),Nondisplaced fracture of head of left radius,12/16/2020,5/22/2021,13
40,Watchers,"Sltr-haris Type II physeal fx phalanx of right toe, 7thG",7/13/2021,5/7/2021,92
41,At First Sight (Entre Nous) (Coup de foudre),"Nondisp spiral fx shaft of unsp fibula, 7thG",10/17/2020,2/12/2021,81
42,Just a Little Harmless Sex,"Implant cysts of iris, ciliary body or ant chamber, r eye",6/19/2021,3/9/2021,43
43,Reindeerspotting - Pako joulumaasta,"Infect/inflm reaction due to int fix of left femur, subs",3/10/2021,10/27/2020,93
44,Il cappotto di legno,"Oth dis of bld/bld-form org/immun mechnsm comp preg, 1st tri",1/6/2021,8/11/2021,61
45,Endless Love,"Disp fx of medial malleolus of right tibia, sequela",4/16/2021,3/21/2021,53
46,The Lumière Brothers' First Films,"Minor laceration of unsp pulmonary blood vessels, init",7/2/2021,3/18/2021,03
47,Summer Stock,"Laceration of radial artery at forearm level, unsp arm, subs",10/2/2020,9/1/2020,33
48,Alan & Naomi,"Sprain of left sternoclavicular joint, subsequent encounter",10/12/2020,1/4/2021,92
49,Memory,"Localized swelling, mass and lump, lower limb, bilateral",6/19/2021,9/28/2020,21
50,Sarafina!,"Spacecraft explosion injuring occupant, sequela",8/2/2021,10/1/2020,82
51,The Invitation,Anemia due to disorders of nucleotide metabolism,9/23/2020,8/21/2021,83
52,Hansel & Gretel,"War op w explosn due to acc disch of own munit, milt, sqla",3/13/2021,1/18/2021,43
53,Hell Baby,"Unsp physl fx low end rad, left arm, subs for fx w nonunion",6/16/2021,12/3/2020,51
54,White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,"Radiculopathy, lumbar region",2/12/2021,1/3/2021,33
55,New Orleans Uncensored,"Food in resp tract, part unsp causing oth injury, sequela",9/7/2020,10/5/2020,91
56,"Girl Cut in Two, The (Fille coupée en deux, La)",Vesicoureteral-reflux w reflux nephropathy with hydroureter,10/19/2020,6/26/2021,53
57,"Wayward Bus, The","Poisoning by oth antihypertensive drugs, self-harm, sequela",8/27/2021,7/14/2021,63
58,Katzelmacher,"Maternal care for oth rhesus isoimmun, second tri, fetus 4",2/20/2021,2/9/2021,83
59,The World Forgotten,"Poisoning by oth agents aff the cardiovascular sys, assault",12/16/2020,4/30/2021,83
60,"Fish Child, The (El niño pez)","Oth specific joint derangements of unsp joint, NEC",7/31/2021,8/4/2021,93
61,Falling in Love Again,Acute bronchitis due to echovirus,10/12/2020,11/12/2020,93
62,Radio On,"Disp fx of med cuneiform of r foot, subs for fx w malunion",5/15/2021,3/27/2021,21
63,Rear Window,Other congenital malformations of cervix,11/2/2020,1/9/2021,72
64,Sione's Wedding (Samoan Wedding),"Poisoning by tetracyclic antidepress, undetermined, sequela",5/22/2021,1/5/2021,12
65,"Beast with a Million Eyes, The",Other injury of transverse colon,12/20/2020,4/29/2021,73
66,When Trumpets Fade,Other subluxation of unspecified ulnohumeral joint,6/8/2021,11/16/2020,33
67,"Soldier's Sweetheart, A","Major laceration of femoral artery, unsp leg, subs encntr",10/17/2020,2/12/2021,22
68,Gone in 60 Seconds,Postprocedural heart failure following cardiac surgery,9/10/2020,6/5/2021,23
69,"Substitute, The (Vikaren)",Dissection of aorta,12/27/2020,6/18/2021,13
70,Valentine's Day,"Foster father, perpetrator of maltreatment and neglect",7/24/2021,11/8/2020,92
71,Without Pity,"Breakdown of int fix of unsp bone of limb, sequela",12/8/2020,10/30/2020,23
72,"Man Between, The","Poisoning by cardi-stim glycos/drug simlar act, acc, subs",7/2/2021,10/4/2020,42
73,Road to Utopia,"Inj unsp musc/tend at lower leg level, left leg, subs",9/17/2020,3/20/2021,33
